"","brand","year","mileage","engine_size","automatic_transmission","fuel","drivetrain","min_mpg","max_mpg","damaged","first_owner","navigation_system","bluetooth","third_row_seating","heated_seats","price"
"3569","BMW",2018,49045,3,1,"Petrol","Rear-wheel Drive",21,30,0,0,1,1,0,1,33999
"3628","FIAT",2015,80505,1.4,1,"Petrol","Front-wheel Drive",22,30,0,0,0,1,0,1,11987
"3689","Honda",2021,35102,3.5,1,"Petrol","Four-wheel Drive",19,24,0,1,0,1,0,1,32372
"3747","Toyota",2013,26090,1.8,0,"Petrol","Front-wheel Drive",27,34,1,0,0,0,0,0,15393
"3803","MINI",2019,23744,1.5,1,"Petrol","Front-wheel Drive",24,33,0,1,0,1,0,0,26499
"3864","MINI",2019,51232,1.5,1,"Petrol","Front-wheel Drive",28,34,0,0,0,1,0,0,20795
"3919","Jeep",2016,82398,3.6,1,"Petrol","Four-wheel Drive",NA,NA,1,0,1,1,0,1,19977
"3983","Audi",2018,76074,3,1,"Petrol","Four-wheel Drive",21,30,0,0,1,1,0,1,28495
"4037","Toyota",2018,53971,4,1,"Petrol","Four-wheel Drive",17,20,0,0,1,1,0,1,36980
"4097","Suzuki",2012,138248,2,1,"Petrol","Four-wheel Drive",15,22,0,1,1,0,0,1,7488
"4157","Kia",2022,15651,1.6,1,"Hybrid","Four-wheel Drive",18,24,0,1,1,1,1,0,46407
"4210","Lexus",2015,63632,4.6,1,"Petrol","Four-wheel Drive",15,19,0,0,1,1,0,0,32990
"4271","MINI",2022,2116,NA,1,"Electric","Front-wheel Drive",23,32,0,1,1,1,0,1,29296
"4329","Jeep",2013,117708,3.6,0,"Petrol","Four-wheel Drive",24,31,0,0,0,0,0,0,21900
"4389","Jeep",2023,2080,3.6,1,"Petrol","Rear-wheel Drive",NA,NA,0,1,0,0,1,1,44000
"4449","Jaguar",2019,23574,NA,1,"Petrol","Rear-wheel Drive",22,27,0,1,1,1,0,0,37998
"4506","Mazda",2006,81102,3,1,"Petrol","Front-wheel Drive",24,30,0,1,0,0,1,0,8995
"4562","Kia",2022,3156,2.5,1,"Petrol","Front-wheel Drive",0,29,0,1,1,1,1,1,35954
"4616","Jeep",2022,5525,3.6,1,"Petrol","Four-wheel Drive",18,25,0,1,1,1,1,1,49999
"4675","Alfa",2019,44266,2,1,"Petrol","Four-wheel Drive",23,31,0,1,0,1,0,0,28519
"4731","Nissan",2022,20863,5.6,1,"Petrol","Rear-wheel Drive",NA,NA,0,1,1,1,1,0,43991
"4789","Mercedes-Benz",2014,79279,4.7,1,"Petrol","Four-wheel Drive",21,28,0,0,1,1,1,0,22349
"4847","Audi",2020,48813,2,1,"Petrol","Four-wheel Drive",19,27,0,1,0,1,0,1,30991
"4905","Jeep",2017,55377,2.4,1,"Petrol","Front-wheel Drive",23,30,1,0,1,1,0,0,19994
"4961","Nissan",2014,63895,4,1,"Petrol","Four-wheel Drive",24,26,0,0,0,1,0,0,21995
"5018","Cadillac",2019,24702,2,1,"Petrol","Four-wheel Drive",14,18,0,0,0,1,0,0,34114
"5080","Volkswagen",2023,2231,2,1,"Petrol","Four-wheel Drive",25,32,0,1,0,0,0,1,36495
"5141","Audi",2017,97537,2,1,"GPL","Four-wheel Drive",23,28,1,1,1,1,0,1,23496
"5201","Volkswagen",2020,39527,2,1,"Petrol","Front-wheel Drive",20,24,0,0,0,1,0,1,23434
"5258","Nissan",2017,44678,3.5,1,"Petrol","Front-wheel Drive",25,32,0,1,1,1,0,1,24990
"5320","Lexus",2017,70842,3.5,1,"Petrol","Rear-wheel Drive",15,25,0,0,0,1,0,0,32998
"5376","MINI",2015,117482,2,0,"Petrol","Front-wheel Drive",29,37,0,0,0,1,0,0,10990
"5432","Jaguar",2020,12378,2,1,"Petrol","Four-wheel Drive",16,22,0,1,1,1,0,1,43491
"5489","Cadillac",2017,75993,2,1,"Petrol","Four-wheel Drive",14,19,0,0,0,1,0,0,17552
"5545","Mazda",2015,116772,2.5,1,"Petrol","Front-wheel Drive",NA,NA,0,0,0,1,0,0,13975
"5601","Alfa",2019,19371,2,1,"Petrol","Four-wheel Drive",22,28,0,0,0,1,0,0,31362
"5667","Chevrolet",2021,27170,1.3,1,"Petrol","Four-wheel Drive",26,30,0,1,0,1,0,1,26495
"5730","Volkswagen",2020,22253,3.6,1,"Petrol","Front-wheel Drive",20,27,0,1,0,1,0,1,33997
"5787","Audi",2020,16560,3,1,"Petrol","Four-wheel Drive",20,27,0,1,0,1,0,1,49000
"5842","Volvo",2018,23627,2,1,"Pertol","Four-wheel Drive",18,26,0,1,1,1,0,0,33549
"5903","Audi",2022,17710,2,1,"Pertol","Four-wheel Drive",21,28,0,0,0,1,0,1,43994
"5964","Alfa",2018,31650,2,1,"Petrol","Four-wheel Drive",23,31,0,1,0,1,0,1,26612
"6024","Mitsubishi",2019,76055,2,1,"Petrol","Front-wheel Drive",24,29,0,0,0,1,0,0,16704
"6085","Nissan",2018,53679,3.5,1,"Petrol","Four-wheel Drive",26,33,0,1,1,1,0,0,24999
"6144","Mitsubishi",2021,47223,2,1,"Petrol","Four-wheel Drive",25,28,0,1,0,1,0,1,19209
"6203","Volvo",2020,59927,2,1,"Petrol","Four-wheel Drive",21,32,0,1,1,1,1,0,36998
"6262","Audi",2016,27338,3,1,"Petrol","Four-wheel Drive",20,30,0,1,1,1,0,1,32995
"6319","Jeep",2017,59218,3.6,1,"Petrol","Four-wheel Drive",18,25,0,0,0,0,0,0,32881
"6379","Nissan",2018,51147,2.5,1,"Petrol","Front-wheel Drive",19,26,1,0,0,1,0,0,18500
"6433","Audi",2009,111645,2,1,"Petrol","Four-wheel Drive",21,27,0,0,0,0,0,0,7900
"6495","Toyota",2017,62096,3.5,1,"Petrol","Four-wheel Drive",28,29,1,1,1,1,1,1,32950
"6555","Porsche",2016,89649,3.6,1,"Petrol","Four-wheel Drive",19,23,0,0,1,1,0,1,35292
"6615","Cadillac",2012,67000,6.2,1,"Petrol","Rear-wheel Drive",11,16,1,0,1,1,0,1,29995
"6670","Mitsubishi",2012,115184,2,1,"Petrol","Four-wheel Drive",21,25,0,1,0,1,0,1,9950
"6729","Mazda",2019,21253,2.5,1,"Petrol","Four-wheel Drive",24,30,1,1,0,1,0,1,24786
"6786","Hyundai",2020,30613,3.8,1,"Petrol","Four-wheel Drive",28,38,1,0,1,1,1,0,44998
"6845","Mitsubishi",2021,42492,2,1,"Petrol","Four-wheel Drive",17,23,0,1,0,1,0,1,19399
"6903","Mitsubishi",2006,127403,2.4,1,"Petrol","Front-wheel Drive",NA,NA,0,0,0,0,0,0,5988
"6966","Kia",2016,101649,1.6,1,"Petrol","Front-wheel Drive",NA,NA,0,0,0,0,0,0,8491
"7023","FIAT",2016,27776,2.4,1,"Petrol","Front-wheel Drive",22,-30,0,1,1,1,0,1,14950
"7079","Chevrolet",2013,193067,3.6,1,"Petrol","Front-wheel Drive",17,-30,1,0,0,1,1,0,4900
"7136","Chevrolet",2019,22317,1.8,1,"Petrol","Front-wheel Drive",43,49,0,1,1,1,0,0,25999
"7192","Cadillac",2020,7773,2,1,"Petrol","Rear-wheel Drive",22,29,0,1,1,1,0,0,37995
"7250","Honda",2019,92493,1.5,1,"Petrol","Front-wheel Drive",30,38,0,0,0,1,0,1,24988
"7308","Honda",2015,97390,2.4,1,"Petrol","Four-wheel Drive",26,33,0,0,0,1,0,0,19495
"7368","Jaguar",2020,28240,2,1,"Petrol","Four-wheel Drive",30,40,0,1,1,1,0,0,42755
"7433","Mazda",2021,55491,2.5,1,"Petrol","Four-wheel Drive",NA,NA,0,1,0,1,0,0,21242
"7489","MINI",2013,81150,1.6,1,"Petrol","Front-wheel Drive",26,34,1,0,0,1,0,0,13995
"7545","Hyundai",2017,90975,2.4,1,"Petrol","Front-wheel Drive",57,59,0,0,0,1,0,1,14577
"7603","Nissan",2022,3249,2,1,"Petrol","Four-wheel Drive",12,17,0,1,0,0,0,0,28297
"7661","Nissan",2020,63172,2,1,"Petrol","Front-wheel Drive",20,27,1,1,0,1,0,0,20910
"7714","Volvo",2018,61787,2,1,"Petrol","Four-wheel Drive",17,23,0,0,1,1,1,1,31990
"7772","Lexus",2020,4832,3.5,1,"Petrol","Four-wheel Drive",43,44,1,1,1,1,0,1,46915
"7829","Chevrolet",2022,11626,2,1,"Petrol","Rear-wheel Drive",19,29,1,1,0,1,0,0,28000
"7892","Kia",2020,56358,3.8,1,"Petrol","Four-wheel Drive",27,37,0,0,0,1,1,0,31777
"7955","Alfa",2018,49942,2,1,"Petrol","Four-wheel Drive",24,33,0,0,0,1,0,1,26795
"8011","Volvo",2013,112222,2.5,1,"Petrol","Front-wheel Drive",NA,NA,0,0,0,1,0,0,12992
"8076","Ford",2023,114,2,1,"Petrol","Front-wheel Drive",NA,NA,0,1,0,1,0,0,31990
"8133","Volkswagen",2018,71167,2,1,"Petrol","Front-wheel Drive",NA,NA,0,0,0,1,0,1,15999
"8191","Hyundai",2013,132210,2.4,1,"Petrol","Front-wheel Drive",22,25,0,0,0,1,0,0,7905
"8253","MINI",2019,39536,2,1,"Petrol","Four-wheel Drive",23,33,0,0,1,1,0,0,27698
"8307","Kia",2022,27302,3.8,1,"Petrol","Four-wheel Drive",24,34,0,1,1,1,1,1,44715
"8367","MINI",2018,74697,1.5,1,"Petrol","Four-wheel Drive",25,31,1,0,0,1,0,0,18881
"8423","Kia",2023,3430,3.8,1,"Petrol","Four-wheel Drive",20,26,0,1,1,1,1,1,48000
"8484","Porsche",2015,97133,3.6,1,"Petrol","Four-wheel Drive",18,25,0,1,1,1,0,1,29971
"8542","Land",2018,57178,NA,1,"Petrol","Four-wheel Drive",21,25,0,0,1,1,0,0,25998
"8601","Nissan",2013,76654,3.5,1,"Petrol","Four-wheel Drive",NA,NA,1,0,0,0,1,0,12749
"8660","Volvo",2011,124700,2.5,1,"Petrol","Front-wheel Drive",22,31,0,0,0,0,0,0,5999
"8719","Volkswagen",2018,68665,2,0,"Petrol","Four-wheel Drive",28,36,0,1,0,1,0,0,18400
"8771","Jeep",2017,86677,3.6,1,"Petrol","Four-wheel Drive",17,23,0,0,1,1,0,1,25551
"8831","Nissan",2019,33054,3.5,1,"Petrol","Four-wheel Drive",21,28,0,1,0,1,0,0,27444
"8887","FIAT",2015,75084,1.4,1,"Petrol","Front-wheel Drive",28,34,1,0,0,1,0,0,11867
"8945","Alfa",2019,30667,2,1,"Petrol","Four-wheel Drive",23,31,0,1,1,1,0,0,23995
"9003","Audi",2015,88254,2,1,"Petrol","Four-wheel Drive",23,31,0,0,0,1,0,0,22442
"9063","FIAT",2013,158835,1.4,1,"Petrol","Front-wheel Drive",25,36,1,0,0,1,0,0,6289
"9118","Volvo",2019,62982,2,1,"Petrol","Four-wheel Drive",20,30,0,1,1,1,1,1,35988
"9180","Hyundai",2023,2465,2.5,1,"Petrol","Front-wheel Drive",45,51,0,1,1,1,0,1,29997
"9237","Land",2023,9329,2,1,"Petrol","Four-wheel Drive",21,30,0,1,1,1,0,1,47999
"9292","Kia",2022,14650,3.3,1,"Petrol","Four-wheel Drive",27,31,0,1,1,1,0,1,47690
"9352","Jaguar",2014,85954,5,1,"Petrol","Rear-wheel Drive",20,30,0,0,1,1,0,0,26995
"9409","Jeep",2014,116138,3.6,0,"Petrol","Four-wheel Drive",16,23,0,0,0,0,0,0,21495
"9468","Jaguar",2017,93553,2,1,"Petrol","Rear-wheel Drive",24,34,1,0,0,1,0,1,15900
"9528","MINI",2019,68351,1.5,1,"Petrol","Front-wheel Drive",26,34,1,0,0,1,0,1,17950
"9589","Hyundai",2017,46206,2.4,1,"Petrol","Front-wheel Drive",NA,NA,1,0,0,1,0,0,17599
"9649","Mitsubishi",2022,13395,2.5,1,"Petrol","Four-wheel Drive",33,41,0,1,1,1,1,1,31907
"9705","Toyota",2012,125263,5.7,1,"Unknown","Four-wheel Drive",13,17,0,0,1,1,1,1,20825
"9770","BMW",2014,21794,NA,1,"Electric","Rear-wheel Drive",NA,NA,0,0,1,1,0,0,15499
"9829","Ford",2004,118530,3.8,1,"Petrol","Rear-wheel Drive",20,24,0,0,0,0,0,0,8200
"9890","Porsche",2008,48167,3.4,0,"Petrol","Rear-wheel Drive",19,23,0,0,0,0,0,0,27750
"9946","BMW",2020,23599,2,1,"Petrol","Four-wheel Drive",23,28,0,0,1,1,0,0,44595
"10005","Volvo",2011,76931,2.5,1,"Petrol","Front-wheel Drive",21,32,0,0,0,1,0,0,10500
"10066","Chevrolet",2018,67116,1.5,1,"Petrol","Front-wheel Drive",26,32,0,0,0,1,0,0,17977
"10126","FIAT",2012,118819,1.4,1,"Petrol","Front-wheel Drive",30,38,0,0,0,1,0,0,6990
"10182","Honda",2020,31382,1.8,1,"Petrol","Front-wheel Drive",28,34,0,1,0,1,0,0,22490
"10247","Mazda",2021,46484,2.5,1,"Petrol","Front-wheel Drive",24,31,0,1,0,1,0,0,23466
"10309","FIAT",2016,44199,2.4,1,"Petrol","Front-wheel Drive",22,31,0,0,1,1,0,0,30998
"10366","Cadillac",1976,14068,NA,0,"Unknown","Unknown",0,13,0,NA,0,0,0,0,24950
"10424","Maserati",2018,70161,3,1,"Petrol","Four-wheel Drive",13,21,0,1,1,1,0,0,40900
"10486","Mazda",2010,85597,2,1,"Petrol","Front-wheel Drive",NA,NA,1,0,0,0,0,0,6984
"10543","Nissan",2018,51520,NA,1,"Electric","Front-wheel Drive",20,28,0,0,1,1,0,0,16999
"10605","Porsche",2019,44030,2,1,"Petrol","Four-wheel Drive",22,30,0,1,1,1,0,1,47388
"10664","Toyota",2005,222033,4.7,1,"Petrol","Four-wheel Drive",15,18,1,0,0,1,1,1,10999
"10723","Volkswagen",2022,5262,NA,1,"Electric","Rear-wheel Drive",26,33,0,1,1,1,0,0,39998
"10782","Jaguar",2018,62761,NA,1,"Petrol","Rear-wheel Drive",18,23,0,0,1,1,0,0,23995
"10848","MINI",2012,69786,1.6,0,"Petrol","Front-wheel Drive",27,35,1,0,0,1,0,1,10000
"10910","Chevrolet",2011,51585,3.6,1,"Petrol","Rear-wheel Drive",NA,NA,1,0,0,1,0,0,16997
"10971","Lexus",2020,22314,3.5,1,"Petrol","Four-wheel Drive",28,31,1,1,0,1,1,0,39900
"11025","Mercedes-Benz",2018,40223,3,1,"Petrol","Rear-wheel Drive",19,26,1,0,1,1,0,1,40000
"11081","Mercedes-Benz",2019,30112,3,1,"Petrol","Four-wheel Drive",NA,NA,1,0,1,1,0,0,50490
"11137","Nissan",2018,72929,5.6,1,"Petrol","Four-wheel Drive",17,26,0,1,1,1,0,0,37999
"11192","Kia",2022,10771,1.6,1,"Hybrid","Four-wheel Drive",35,39,0,1,1,1,1,0,45999
"11250","Honda",2017,54121,1.8,1,"Petrol","Four-wheel Drive",27,31,0,0,1,1,0,1,20997
"11305","Cadillac",2011,84076,4.6,1,"Petrol","Front-wheel Drive",15,21,1,0,0,1,0,1,10291
"11367","Nissan",2020,17747,3.5,1,"Petrol","Four-wheel Drive",NA,NA,0,1,0,1,0,0,28495
"11430","Volvo",2018,68860,NA,1,"Petrol","Four-wheel Drive",22,25,0,1,1,1,0,1,25600
"11487","Audi",2020,29459,3,1,"Petrol","Four-wheel Drive",17,21,0,1,1,1,1,0,50377
"11543","Mazda",2023,7940,2.5,1,"Petrol","Front-wheel Drive",NA,NA,0,1,0,0,0,0,27492
"11603","Toyota",2021,57534,4,1,"Petrol","Four-wheel Drive",16,19,0,0,0,1,0,0,36861
"11655","Chevrolet",2017,89062,5.3,1,"Petrol","Four-wheel Drive",16,22,0,0,1,1,1,1,34800
"11707","Land",2014,106042,2,1,"Petrol","Four-wheel Drive",22,28,1,0,0,1,0,1,13800
"11765","Alfa",2020,26907,2,1,"Petrol","Four-wheel Drive",23,31,0,1,1,1,0,0,35994
"11823","Jeep",2015,56370,3.6,1,"Petrol","Four-wheel Drive",21,30,0,1,0,1,0,0,27700
"11882","Mitsubishi",2020,55746,2,1,"Petrol","Four-wheel Drive",24,30,0,1,0,1,0,1,14995
"11937","Toyota",2018,57150,3.5,1,"Petrol","Four-wheel Drive",18,22,1,1,1,1,0,0,31886
"11995","Porsche",2012,63604,3.6,1,"Petrol","Four-wheel Drive",19,23,1,0,1,1,0,0,25001
"12053","Jaguar",2011,48467,5,1,"Petrol","Rear-wheel Drive",24,34,0,0,1,1,0,0,14000
"12116","Volvo",2022,13942,2,1,"Petrol","Four-wheel Drive",21,32,0,1,1,1,0,0,40998
"12177","Porsche",2019,29199,3,1,"Petrol","Four-wheel Drive",20,26,1,1,1,1,0,1,50995
"12236","Chevrolet",2013,100389,5.3,1,"Petrol","Rear-wheel Drive",13,13,0,0,1,0,0,0,26995
"12293","Porsche",2020,20687,2,1,"Petrol","Four-wheel Drive",18,23,0,0,1,1,0,1,48995
"12351","Nissan",2021,56450,5.6,1,"Petrol","Rear-wheel Drive",19,26,0,1,1,1,1,1,36606
"12406","Nissan",2016,67425,3.5,1,"Petrol","Front-wheel Drive",21,28,0,0,1,1,0,0,20998
"12470","Jaguar",2019,65227,NA,1,"Petrol","Rear-wheel Drive",15,23,0,1,0,1,0,0,22990
"12529","Cadillac",2022,11248,2,1,"Petrol","Front-wheel Drive",22,31,0,1,0,1,1,1,45595
"12589","FIAT",2019,26377,1.3,1,"Petrol","Four-wheel Drive",24,30,0,1,0,1,0,0,24611
"12650","Lexus",2013,87229,2.5,1,"Petrol","Four-wheel Drive",20,28,1,0,0,1,0,0,17696
"12702","Honda",2020,33862,NA,0,"Unknown","Unknown",NA,NA,0,1,0,0,0,0,30000
"12759","Volvo",2019,36896,2,1,"Petrol","Four-wheel Drive",22,31,1,1,0,1,0,1,26976
"12825","Jeep",2010,82199,3.8,1,"Petrol","Four-wheel Drive",18,25,0,0,0,0,0,0,17999
"12882","MINI",2010,67000,1.6,1,"Petrol","Front-wheel Drive",24,33,1,0,0,0,0,0,8995
"12937","Mazda",2011,107575,2.3,0,"Petrol","Front-wheel Drive",26,35,1,0,0,1,0,0,11899
"12992","Volkswagen",2022,33360,1.5,1,"Petrol","Front-wheel Drive",16,22,0,1,0,1,0,0,29998
"13048","BMW",2011,93596,3,0,"Petrol","Rear-wheel Drive",NA,NA,1,0,0,0,0,0,12840
"13105","Land",2018,40601,3,1,"Petrol","Four-wheel Drive",16,21,0,0,1,1,0,0,40572
"13167","Cadillac",2009,125080,4.6,1,"Petrol","Front-wheel Drive",17,24,1,0,0,1,0,0,9499
"13223","Jeep",2023,1001,3.6,1,"Petrol","Four-wheel Drive",23,30,0,1,0,0,1,0,43049
"13282","Mercedes-Benz",2009,82461,3.5,1,"Petrol","Rear-wheel Drive",14,19,0,0,0,0,0,0,10997
"13341","Toyota",2016,39240,3.5,1,"Petrol","Four-wheel Drive",18,24,0,0,1,1,1,0,29996
"13397","Porsche",2019,21548,2,1,"Petrol","Four-wheel Drive",NA,NA,1,1,1,1,0,1,48788
"13453","Ford",2021,39062,2.7,1,"Petrol","Four-wheel Drive",19,22,0,0,0,1,0,1,43685
"13514","Hyundai",2013,58665,1.8,0,"Petrol","Front-wheel Drive",19,26,0,0,0,1,0,1,13000
"13573","Volvo",2020,47502,2,1,"Petrol","Four-wheel Drive",20,27,0,1,0,1,0,0,29821
"13627","Alfa",2021,14299,2,1,"Petrol","Four-wheel Drive",23,31,0,1,0,1,0,0,34999
"13690","Honda",2023,345,1.5,1,"Petrol","Front-wheel Drive",NA,NA,0,1,0,0,0,0,35990
"13749","Mitsubishi",2022,9053,2.5,1,"Petrol","Front-wheel Drive",23,29,0,1,0,1,1,0,27499
"13808","Ford",2018,25750,3.5,1,"Petrol","Front-wheel Drive",17,24,1,1,0,1,1,0,25545
"13872","Alfa",2017,64716,2,1,"Petrol","Four-wheel Drive",22,28,0,0,0,1,0,1,20883
"13931","Honda",2019,48688,1.5,1,"Petrol","Front-wheel Drive",30,36,0,1,0,1,0,0,24499
"13986","FIAT",2014,74639,1.4,0,"Petrol","Front-wheel Drive",28,34,0,0,0,1,0,1,12499
"14045","Hyundai",2020,54101,2,1,"Petrol","Front-wheel Drive",21,26,0,1,0,1,0,1,23408
"14102","Volkswagen",2018,1708,1.8,0,"Petrol","Front-wheel Drive",18,24,0,1,0,1,0,0,21495
"14161","Hyundai",2019,36577,2.4,1,"Petrol","Front-wheel Drive",26,33,0,0,0,1,0,1,23995
"14216","Chevrolet",2018,80898,5.3,1,"Petrol","Four-wheel Drive",15,22,0,0,1,1,1,0,43995
"14278","Volkswagen",2021,40835,NA,1,"Electric","Rear-wheel Drive",18,24,0,1,1,1,0,0,34995
"14337","Audi",2021,45151,3,1,"Petrol","Four-wheel Drive",18,24,0,0,0,1,0,1,43996
"14394","Kia",2022,33628,1.6,1,"Hybrid","Front-wheel Drive",NA,NA,1,1,1,1,0,1,33348
"14451","Nissan",2021,17806,2.5,1,"Petrol","Four-wheel Drive",31,40,0,1,0,1,0,0,25280
